Monsoon_Intensity,Topography_Drainage,River_Management,Deforestation,Urbanization,Climate_Change,Dams_Quality,Siltation,Agricultural_Practices,Encroachments,Ineffective_Disaster_Preparedness,Drainage_Systems,Coastal_Vulnerability,Landslides,Watersheds,Deteriorating_Infrastructure,Population_Score,Wetland_Loss,Inadequate_Planning,Political_Factors,Flood_Probability,Annual_Rainfall,Seasonal_Rainfall,Temperature,Humidity,Cloud_Visibility,Flood
4,2,7,9,2,4,7,7,4,6,2,1,4,5,2,8,3,6,3,2,0.44,1865,1064.1,25.6,72.5,7.9,0
8,8,6,4,1,3,3,1,7,3,4,5,4,4,5,5,3,4,4,2,0.42,2670,1561,24,79.6,6.1,0
7,5,3,2,5,6,5,7,6,7,4,9,4,7,3,7,4,3,5,7,0.53,2596.7,1491.7,27.7,76.1,6.3,1
6,5,10,9,2,4,3,5,4,1,6,8,5,2,5,4,10,6,4,3,0.51,2253.7,1277.5,25.4,76,6.7,1
3,5,4,4,2,6,6,4,4,9,5,3,4,5,7,3,5,4,7,12,0.51,1697.4,970.9,28.7,67.2,7.8,1
2,,3,6,5,3,5,2,2,3,3,7,3,7,4,4,10,4,3,4,0.42,1364,801.9,25.7,56.8,8.6,0
8,6,4,3,3,4,,3,5,2,4,6,6,5,4,4,6,5,7,2,0.45,2720.7,1599.8,25.3,84.2,6.6,0
,0,8,6,6,4,5,5,6,8,6,3,6,3,3,5,3,6,9,4,0.51,2243.3,1315.1,27.4,74.5,6,1
7,8,4,,,8,5,9,8,1,7,7,1,9,7,6,7,10,9,8,0.635,2582.9,1509.2,30.6,87,7.2,1
4,2,7,8,10,5,4,6,7,4,5,7,8,3,6,6,3,6,3,3,0.535,1887,1090.7,28.8,70.2,7.9,1
6,7,6,4,5,5,5,6,5,3,8,5,4,7,5,4,2,2,3,5,0.485,2348.7,1377.7,28.3,69.9,7.1,0
5,9,5,3,,4,4,3,3,5,5,1,5,5,3,6,9,2,3,8,0.445,2021.3,1169.3,25.5,64.2,7.8,0
1,2,1,5,2,4,5,1,6,3,2,8,4,3,8,8,5,3,5,5,0.405,1100.2,610.2,25.6,45.3,9.9,0
1,6,5,4,3,7,5,7,4,3,6,3,4,2,8,6,3,5,4,2,0.44,1234.3,734.8,28.8,52.5,8.3,0
8,4,1,5,3,5,10,3,3,2,4,4,4,4,8,5,5,4,9,4,0.475,2714,1551.6,26.2,78,5.6,0
2,4,3,6,6,9,2,3,4,10,9,3,8,4,9,9,7,6,3,6,0.565,1565.3,893.8,31.3,61.8,7.7,1
2,2,7,1,4,4,2,5,5,8,6,5,5,2,4,7,6,3,5,5,0.44,1396.9,812.3,26.7,57.8,9.1,0
5,2,7,3,2,4,5,11,2,1,4,5,4,6,7,5,2,5,7,10,0.485,2085.4,1222.4,25.5,72.1,6.7,0
3,4,4,8,5,3,8,4,2,1,6,8,5,3,9,6,4,4,3,4,0.47,1580.3,935.9,26.2,65.9,8.6,0
7,5,6,7,1,4,7,2,4,2,7,7,6,6,7,5,4,8,5,7,0.535,2512.3,1450.9,24.3,86.5,7.6,1
7,2,5,7,3,7,6,5,5,5,5,4,6,5,11,9,3,6,4,3,0.54,2647.9,1507.4,28.1,86.2,6.2,1
5,6,3,4,0,8,6,3,5,4,8,1,4,5,3,6,8,6,3,3,0.455,2220.7,1257.2,29.3,71.3,7,0
6,3,5,6,3,11,3,5,3,9,6,6,3,10,3,5,6,3,2,3,0.505,2492.5,1478.4,32.8,71.2,5.6,1
6,9,7,4,4,2,4,5,8,4,5,6,8,5,10,4,5,5,3,8,0.56,2189.6,1240.2,24.9,77.2,7.6,1
8,5,4,3,7,7,3,9,9,5,8,6,3,3,9,3,6,4,11,6,0.595,2793.2,1632.6,28.5,83,6.1,1
5,6,5,1,2,3,1,4,4,5,5,3,3,5,8,3,4,3,6,6,0.41,1960,1149.3,24.2,68.9,8,0
7,5,4,3,8,2,1,2,2,5,2,11,7,4,3,7,0,1,5,3,0.41,2415.9,1379.8,25,73.7,6.7,0
6,3,6,5,,4,1,9,6,6,5,7,8,6,8,3,5,4,7,7,0.565,2317.3,1357.7,27.2,70.7,7.2,1
3,5,10,3,5,4,2,7,5,4,6,4,8,10,4,3,4,5,9,2,0.515,1584.2,912.4,27.1,65.9,8.5,1
3,4,4,4,7,5,2,4,4,6,4,3,8,1,4,3,2,10,5,6,0.445,1557.2,856.2,28.1,72.2,8.1,0
5,4,2,5,5,1,8,6,8,5,6,2,4,5,4,3,4,6,7,8,0.49,1885.8,1089.5,23.4,100,7.9,0
5,7,7,4,2,10,4,6,3,2,7,8,1,3,3,7,6,8,2,5,0.5,2247,1284.7,30.2,76,6.7,1
4,3,4,6,,5,3,5,5,6,7,3,2,6,8,6,9,7,5,5,0.515,1876.8,1105.7,26.3,70.2,7.8,1
3,5,3,8,8,5,1,2,7,6,8,5,4,6,5,4,2,4,3,0,0.445,1603.6,925.3,28.1,60.9,8.6,0
6,2,8,4,4,5,7,6,1,10,3,5,8,4,9,8,4,6,4,6,0.55,2265.6,1321.8,27.3,81,6.6,1
4,9,6,7,5,9,5,5,3,4,1,5,5,3,2,2,4,10,4,3,0.48,1956.3,1117.4,29.7,75.2,0.2,0
7,5,7,3,8,3,1,6,4,7,4,5,5,7,3,3,4,5,6,5,0.49,2386.6,1404.8,25.6,75.2,6.8,0
6,4,4,6,2,6,7,7,4,2,5,5,7,4,3,6,7,1,2,7,0.475,2385.6,1369,27.2,73.9,6.2,0
,5,3,7,3,3,6,6,6,4,5,8,3,6,3,6,6,6,4,6,0.51,2171.4,1286.6,24.1,79.6,7.1,1
2,4,2,4,5,3,7,6,7,5,5,4,6,6,5,10,7,4,6,4,0.51,1342.3,784.1,25.3,61.9,9.4,1
2,5,3,5,7,3,7,3,6,3,7,4,5,11,5,5,2,9,3,4,0.495,1418.7,809.3,26.4,66,8.9,0
2,5,2,7,4,1,4,2,3,5,4,4,9,3,4,9,4,7,5,4,0.44,1268.3,746,24.4,67.3,9.9,0
13,5,3,2,4,2,4,5,5,4,4,6,5,7,8,8,4,8,6,3,0.53,3656.1,2113.8,23.2,100,4,1
8,2,3,4,,5,4,6,3,3,1,5,7,5,8,3,5,5,4,6,0.45,2700.9,1575.2,28.2,83,5.3,0
5,4,4,2,3,8,7,3,4,6,3,5,5,5,9,4,15,3,6,7,0.54,2204.3,1321.5,30.4,69.8,6.8,1
4,6,6,5,5,3,3,6,9,4,3,8,3,9,2,6,4,6,8,8,0.54,1840.2,1063.7,25.1,69.1,8.6,1
7,11,7,6,9,4,3,3,5,5,1,4,6,5,6,6,4,5,7,4,0.54,2472,1392.3,27.5,82,7.1,1
7,6,6,3,4,3,6,5,3,9,5,6,9,3,5,6,7,3,5,6,0.535,2434.1,1451.9,25,76.4,6.2,1
7,4,4,7,5,3,4,5,6,7,2,7,5,5,1,6,5,3,2,5,0.465,2415.9,1392.9,25.2,74.5,6.8,0
6,5,4,6,2,2,4,8,1,5,6,3,7,5,4,6,5,8,6,10,0.515,2202.3,1273.4,25.1,82.8,7.5,1
3,2,5,4,5,1,,5,7,4,6,6,5,2,5,6,8,1,5,3,0.435,1497,831.6,24.6,61,8.7,0
3,3,8,2,3,3,8,13,6,6,0,5,5,3,4,5,9,6,5,4,0.505,1579.9,949.1,24.7,60.6,7.8,1
6,11,3,7,7,3,6,4,2,7,3,7,4,10,6,7,2,5,4,4,0.54,2234.2,1291.4,25.7,74.8,8,1
4,7,4,5,4,3,7,6,4,4,10,6,6,6,4,7,2,5,4,5,0.515,1831.9,1054,26.4,65.6,8.5,1
2,1,,3,4,3,9,8,7,7,6,5,3,4,8,6,3,7,6,8,0.51,1397.5,835.3,26.5,66.9,9.7,1
6,4,,5,3,4,5,8,4,4,2,6,7,8,7,6,10,5,7,5,0.555,2262.6,1334.9,24.7,77,6.3,1
6,6,3,5,9,3,6,8,9,5,3,2,3,6,7,5,3,6,3,9,0.535,2266.2,1317.8,26,79.2,7.6,1
7,2,3,4,8,7,8,8,5,6,3,1,3,3,4,9,2,7,4,6,0.5,2510.2,1486.3,29.7,84.4,4.7,1
2,5,6,4,4,8,4,2,2,3,8,5,5,6,7,1,5,6,4,6,0.465,1504,879.9,31.6,60,8.5,0
8,7,10,3,3,6,4,1,4,4,8,6,4,3,6,5,11,9,8,8,0.59,2754.3,1563,28.8,94.6,6.3,1
5,6,8,,5,3,10,5,5,6,4,5,3,4,8,5,6,3,8,6,0.55,1964,1130.7,24.8,66.1,8.1,1
6,1,4,3,5,9,6,10,6,3,4,5,8,5,4,5,4,1,5,6,0.5,2512.8,1492.6,31.4,72.9,5.5,1
3,6,8,4,4,2,10,2,6,1,4,9,7,4,1,7,4,5,8,4,0.495,1490.8,843,23.9,67.6,8.6,0
6,3,3,4,5,3,6,6,8,5,1,5,4,8,3,5,4,0,7,5,0.455,2308,1323.7,26,67.8,6.8,0
3,6,3,9,4,3,3,2,5,4,2,7,1,2,5,5,4,9,4,4,0.425,1592.2,923.7,25.3,76.2,8.2,0
3,4,,9,6,2,5,4,5,5,6,3,4,7,3,3,3,9,4,7,0.475,1529.3,896.3,24.8,70.1,9.4,0
8,2,6,10,,4,5,3,5,9,4,4,4,5,2,7,4,5,5,4,0.52,2653.4,1513.2,27.1,84.8,6.1,1
9,4,4,4,3,6,2,6,6,6,8,3,6,6,8,10,11,10,4,4,0.6,2973.3,1689.6,29,95,5,1
9,5,5,1,5,2,5,3,2,7,6,7,2,4,1,5,12,4,2,4,0.455,2826.7,1668.1,22.1,87.4,6.1,0
9,11,5,2,7,6,5,3,6,7,0,4,5,2,1,7,4,6,9,4,0.515,2910.1,1686.4,29.5,88,6.5,1
10,3,6,3,4,7,1,,5,2,1,2,2,4,1,4,5,7,4,4,0.41,3256.6,1884,28.3,91.4,4.6,0
5,6,3,4,3,7,4,10,9,7,7,9,7,7,3,4,8,3,4,4,0.57,2179.8,1244.1,29.1,70.4,7.3,1
1,3,3,7,7,2,5,7,4,6,7,2,6,4,5,7,1,6,7,5,0.475,1091.1,620.6,25.1,56.5,9.7,0
3,4,4,3,4,4,4,6,1,4,8,8,5,4,2,5,4,5,4,2,0.42,1601.3,937.4,26.9,65.1,7.9,0
6,7,4,8,4,7,3,3,5,2,4,2,11,6,4,4,6,2,3,4,0.475,2392.5,1409.7,28.9,71.9,7,0
11,7,6,5,7,3,1,7,4,6,8,3,5,5,3,3,9,7,4,1,0.525,3310,1911.5,26,100,5.1,1
9,9,3,7,4,7,4,6,8,7,5,4,7,2,4,1,11,6,6,5,0.575,3010.5,1742.2,28.8,94.1,5.9,1
4,8,2,2,5,10,8,4,5,6,6,1,3,6,5,5,5,4,7,5,0.505,1987.7,1149.6,30.6,70.6,7,1
7,5,1,1,4,6,8,7,7,6,3,6,2,0,8,5,6,3,3,7,0.475,2527.5,1490.8,27.1,75.4,6.7,0
,5,8,5,8,1,,7,6,,7,8,6,10,7,5,8,2,4,8,0.58,825.1,469.5,24.7,48.7,10,1
4,9,2,3,6,6,2,5,5,5,6,4,4,4,3,7,4,7,3,4,0.465,1934,1086.6,28.5,76.7,7.6,0
5,5,5,7,4,5,4,2,5,3,5,6,4,11,4,4,6,4,3,6,0.49,2093.4,1213.3,28.1,72.8,7.1,0
5,6,3,6,6,5,7,4,5,6,3,5,1,4,6,7,7,5,4,7,0.51,2084,1177.4,27.1,73.8,7.5,1
6,2,7,7,13,10,5,7,5,8,6,5,9,2,7,4,4,4,5,5,0.605,2405.1,1366.8,34.4,69.4,6.1,1
3,5,4,2,3,6,7,10,3,10,10,8,3,11,5,1,4,4,3,5,0.535,1693.9,980.2,27.8,59.8,8.3,1
4,4,6,3,5,10,5,4,6,5,7,8,6,6,4,4,3,9,4,4,0.535,1997,1149.9,31.2,73.9,7.2,1
7,4,5,10,5,6,4,9,3,9,4,6,11,11,3,2,3,4,7,5,0.59,2573.9,1503.5,28.8,81.9,6.9,1
6,4,5,4,6,2,9,10,3,7,2,5,4,3,3,8,2,4,12,8,0.535,2219.7,1269.3,24.1,77.1,0.2,1
3,4,5,9,6,2,5,3,5,7,5,4,6,7,8,6,4,3,9,4,0.525,1569.9,889.1,26.2,62.9,9.4,1
2,5,5,2,6,4,5,7,5,7,3,4,5,5,3,6,6,7,3,4,0.47,1445.1,826.4,28,60.8,8.7,0
6,10,7,4,8,3,4,2,9,1,4,1,5,0,2,4,4,5,1,6,0.43,2257.7,1294.4,26.1,80.4,7.5,0
4,7,6,6,2,1,3,2,3,4,3,3,2,5,5,6,3,5,7,8,0.425,1730.9,976.9,23.4,68.9,8.8,0
6,4,7,6,6,6,9,5,6,9,2,2,2,4,2,4,5,2,5,3,0.475,2352.5,1392,28.3,76,6.6,0
6,4,5,3,5,9,8,4,7,3,6,2,7,4,3,5,6,4,5,4,0.5,2406.1,1386.3,30.5,75,6.2,1
5,3,9,4,7,6,6,8,5,5,6,7,5,4,6,4,3,3,3,7,0.53,2092.1,1246.9,29.3,69.6,6.9,1
7,6,6,3,7,6,6,6,7,4,1,6,3,5,6,11,5,5,3,4,0.535,2548.4,1487.4,27.4,78.3,6.7,1
5,4,4,3,0,4,5,4,7,8,4,6,5,6,5,4,7,3,6,7,0.485,2075.9,1177.4,24.8,69.1,6.8,0
3,5,3,3,4,10,6,3,1,6,6,10,10,5,3,3,5,6,4,5,0.505,1843.9,1087.1,31.5,64.5,7.3,1
3,3,8,5,8,,8,4,3,5,11,3,3,7,4,8,7,6,1,4,0.52,1544,915.9,26.9,68.9,8.4,1
4,6,4,6,5,5,6,4,3,2,3,7,3,6,7,4,7,4,7,7,0.5,1857.8,1075.2,26.9,68.8,8.3,1
6,5,5,4,5,3,4,4,2,5,0,5,4,1,3,4,7,3,6,5,0.405,2266,1261.1,24.6,70.2,7.2,0
5,9,6,9,6,7,7,7,5,2,5,3,3,5,6,6,9,6,4,1,0.555,2213.2,1279.8,29.8,73.1,7.1,1
5,2,3,7,2,5,3,3,2,7,6,4,6,2,5,5,8,3,3,7,0.44,2165.9,1246.7,26.1,71.7,6.9,0
8,6,6,5,5,9,2,4,6,7,4,6,4,3,4,9,6,6,7,4,0.555,2821.4,1652.3,30.6,86.1,6,1
4,3,8,5,5,4,6,6,4,3,3,3,6,4,9,7,2,11,10,6,0.545,1849,1068.8,26.2,75.7,7.4,1
6,4,5,2,6,6,,10,7,4,1,5,3,2,5,7,5,2,6,6,0.465,2296.9,1343.2,29.2,72,7.7,0
7,2,6,9,6,4,3,7,5,11,5,3,9,6,7,3,4,3,5,6,0.555,2501.5,1480,25.9,82.3,6,1
2,4,4,4,,3,1,6,6,,6,3,6,3,4,5,6,2,6,5,0.425,1322.3,751.7,25.5,57.4,9,0
5,,4,2,7,7,1,6,6,,6,3,4,8,7,1,3,3,5,1,0.435,2155.4,1214.5,31.8,70.4,6.6,0
6,11,3,8,5,3,8,3,2,4,4,6,3,4,4,3,4,5,4,7,0.485,2222,1264.8,25.3,77.9,7.3,0
4,4,8,,4,2,4,6,3,6,5,6,2,4,5,5,2,1,4,11,0.455,1794.2,1040.1,24.8,65.5,8.9,0
7,7,5,6,4,3,7,4,7,10,3,6,5,1,8,7,5,5,5,8,0.565,2444.1,1456.1,24.5,85.8,7.6,1
2,3,4,3,3,1,4,0,8,6,7,4,4,2,3,7,7,4,3,1,0.38,1252.4,707.8,23.2,59.8,10,0
5,7,6,1,7,5,10,5,6,6,9,3,3,7,8,3,5,4,4,2,0.53,2110.3,1228,27.6,71.4,8,1
2,5,5,4,6,6,2,0,6,4,3,7,6,6,9,4,2,12,6,7,0.51,1419.9,800.4,28.3,72.4,8.9,1
6,5,3,5,6,8,5,4,2,6,4,1,6,6,6,5,5,6,6,3,0.49,2434.5,1411.9,30.4,85.2,6.1,0
3,9,7,7,6,5,5,8,8,5,5,6,6,3,6,2,5,2,4,2,0.52,1632.9,958,29.5,54.3,8.7,1
3,3,10,1,7,7,4,2,10,5,8,7,1,5,4,4,3,5,5,5,0.495,1742.4,1032.9,30,65,8.1,0
6,3,3,5,4,6,3,7,7,4,5,9,4,3,4,4,7,5,4,4,0.485,2324.1,1338.4,28.1,78.4,7.3,0
2,9,6,3,4,9,8,1,2,3,5,6,1,4,5,0,1,8,4,8,0.445,1556.6,913.2,30.5,62.8,8.1,0
5,4,6,5,5,4,8,8,6,3,2,7,4,2,2,5,6,4,2,6,0.47,8520.3,1200.7,28.1,66.2,7.2,0
2,2,7,7,1,6,3,6,4,6,7,4,4,2,6,12,5,4,6,6,0.5,1447.3,809.1,26.8,52.5,8.2,1
7,6,5,4,9,8,4,7,8,6,5,7,8,3,5,4,7,7,5,1,0.58,2632.8,1482.3,30.4,85,5.5,1
2,3,2,6,6,3,3,2,5,10,5,5,5,3,6,7,2,7,4,9,0.475,1344,818.9,27.2,66.3,8.5,0
6,4,7,4,4,6,7,4,3,2,4,8,4,1,4,3,5,5,6,5,0.46,2305.1,1349.5,27.2,76.7,6.8,0
5,4,5,5,7,3,2,4,5,9,6,8,4,3,3,8,3,4,4,4,0.48,1984.4,1160.6,25.3,71,8.2,0
5,5,10,2,2,5,3,2,5,5,3,7,4,7,5,6,5,5,3,5,0.47,2053.2,1203.5,25.3,73.1,7.9,0
4,7,3,3,4,5,4,0,7,5,4,7,3,8,6,8,6,4,1,5,0.47,1817,1066.4,27.8,65.7,8.7,0
4,,5,9,5,4,5,7,1,9,2,3,4,6,5,2,4,5,7,8,0.505,1836,1080.8,26.9,69.4,7.4,1
9,8,4,6,7,7,4,3,7,6,2,5,1,11,3,8,8,2,2,7,0.55,2907.8,1683.2,29.8,81.9,0.2,1
5,6,5,2,7,6,6,7,7,4,5,4,4,6,9,6,2,3,5,5,0.52,2157.1,1280.1,28.3,64.7,7.8,1
,12,5,6,4,4,7,10,2,8,2,4,8,3,8,6,6,2,8,4,0.575,2262,1265.8,24.9,71.9,7.2,1
5,7,8,6,7,5,5,4,3,2,2,2,7,6,2,4,6,7,3,5,0.48,2121.9,1230.8,26.3,75.8,7.8,0
9,5,5,7,10,3,3,7,6,7,6,1,8,2,5,7,7,5,2,1,0.53,2925,1656,26.7,90.3,6.1,1
8,4,6,5,2,6,3,3,5,2,4,5,13,11,7,9,7,9,5,7,0.605,2813.9,1636.7,27.4,86.7,5.9,1
5,3,5,7,9,5,3,6,3,5,6,8,9,5,5,4,6,2,3,5,0.52,2084,1215.1,29.6,68.1,6.8,1
6,12,6,4,4,6,5,5,1,6,3,4,7,2,7,7,2,9,6,8,0.55,2340.4,1392.5,26.5,86,6.9,1
3,2,8,6,1,2,7,4,4,2,8,5,6,5,11,4,2,3,5,3,0.455,1611.1,935.8,24.2,60.6,9.2,0
1,8,2,4,2,6,4,6,3,8,8,9,7,4,6,3,4,6,6,3,0.5,1263.2,773.7,29.1,55.9,8.8,1
7,4,10,3,6,8,0,3,4,5,4,7,2,5,5,6,6,3,3,3,0.47,2659.2,1520.9,29.7,79.2,6.1,0
4,4,4,2,3,5,4,7,9,2,3,8,5,6,5,10,6,5,4,9,0.525,1845.9,1070.6,26.1,70.2,7.8,1
5,5,5,5,4,4,5,2,5,6,3,8,3,2,6,5,3,8,5,3,0.46,2035.3,1172.9,26.9,76,7.9,0
9,6,7,3,7,3,6,5,7,3,7,3,4,5,8,6,6,5,6,4,0.55,2950.4,1734.7,25.1,86.8,6.3,1
3,7,4,2,4,3,6,5,4,10,1,8,2,4,6,6,4,3,4,7,0.465,1550.5,893.4,25.3,54,9,0
7,7,6,5,6,3,4,6,3,3,3,6,4,1,7,3,2,2,4,4,0.43,2462.3,1434.9,25.5,79.3,7.3,0
8,5,4,4,6,3,4,4,3,7,4,4,2,7,3,3,2,8,6,3,0.45,2642,1510.1,24.7,86.5,6.2,0
4,5,3,5,3,6,2,5,1,7,7,7,1,9,6,4,5,8,3,7,0.49,1901.7,1083.4,28.5,74.6,7.4,0
6,,6,5,5,5,8,8,5,7,4,8,7,4,7,5,4,7,9,6,0.62,2319.1,1331.2,26.8,82.9,7.2,1
5,4,8,7,2,3,6,7,5,4,4,7,3,4,2,5,3,4,6,7,0.48,2019.6,1182.6,23.7,70.3,0.2,0
9,4,2,8,6,7,4,3,7,6,8,2,8,4,5,3,2,5,4,6,0.515,3097.6,1761.6,29.7,89.3,5.7,1
4,4,3,3,5,2,5,3,9,8,5,6,3,6,6,3,3,7,1,7,0.465,1792.6,997.9,23.7,75.2,9.3,0
1,7,3,3,6,6,6,5,2,9,4,3,4,1,3,6,11,4,5,3,0.46,1247.8,752.4,29.2,61.1,9.3,0
6,3,8,5,1,2,7,7,9,6,5,6,5,7,5,7,7,4,2,4,0.53,2187.8,1256.9,23.5,75.1,7.6,1
5,6,5,2,6,7,3,2,10,3,3,7,6,1,5,5,4,4,1,7,0.46,2169.8,1228.7,29.2,67.2,7.5,0
6,5,3,5,,6,3,8,8,6,3,6,2,8,2,7,3,5,1,3,0.475,2362.4,1388.5,27.3,70.2,6.3,0
5,3,8,5,2,8,4,2,5,8,9,2,6,4,6,4,5,3,8,3,0.5,2163.5,1238.3,28.8,71,6.9,1
2,5,10,2,6,9,7,,6,5,6,4,4,4,4,7,5,8,4,6,0.535,1538.4,870.4,33.6,67.2,8.1,1
6,8,2,3,8,7,4,1,8,3,10,5,3,6,6,4,10,3,7,11,0.575,2318.4,1370,31.1,76.5,7.2,1
6,7,5,6,4,7,3,6,7,3,4,4,2,4,5,5,3,5,11,7,0.52,2362.1,1350.4,28.1,78.7,6.5,1
6,5,4,2,6,4,3,4,3,5,3,5,4,6,7,5,5,1,3,4,0.425,2276.6,1280.5,26.3,67.6,7.1,0
6,5,7,3,2,3,4,6,,2,3,8,5,10,7,6,4,4,4,6,0.495,2217.1,1252,25.3,69.1,7,0
7,,3,0,9,5,6,4,8,8,10,3,5,3,9,6,3,4,10,5,0.555,2466.8,4898.16,28.5,78.7,6.9,1
5,2,11,7,7,4,9,1,8,5,6,4,3,6,9,5,2,6,4,5,0.545,2042.7,1168,26.2,70.7,7.7,1
7,3,8,5,5,6,11,2,10,8,4,12,2,6,2,4,4,5,4,4,0.56,2564.1,1444.2,26.3,82.3,6.2,1
3,3,2,,7,8,5,4,2,5,2,3,5,6,12,4,3,7,1,4,0.44,1721.4,1033.9,31.4,71.2,7.9,0
1,7,4,10,,6,5,3,4,8,8,6,5,3,3,2,4,7,9,5,0.525,1294.4,738.8,27,60.8,9.2,1
6,2,7,6,4,3,,6,7,3,6,3,3,4,4,2,4,10,4,6,0.465,2188.5,1260.9,25.9,86.8,6.7,0
2,3,6,6,7,5,6,5,7,6,7,3,6,8,7,2,3,4,3,6,0.51,1370.6,791,27.8,59.4,9,1
2,4,3,7,5,3,4,7,,3,1,5,7,5,7,4,5,5,8,4,0.455,1306.9,768.8,26.5,62.6,8.9,0
4,5,,5,12,6,2,6,4,5,2,6,5,3,6,6,5,7,1,6,0.51,1865.3,1109.8,31.3,66.1,7.7,1
6,5,4,6,8,2,3,7,3,3,3,2,6,7,2,4,3,5,11,7,0.485,2161.8,1226.2,24.5,73.9,7.1,0
7,6,3,5,3,7,4,7,6,11,3,8,5,2,15,9,7,4,5,5,0.61,2614.4,1514.4,30.1,77,6,1
4,8,4,4,3,2,7,7,4,6,3,2,2,7,5,2,3,6,4,7,0.45,1757.4,1012,24.5,70.3,7.8,0
4,5,5,4,6,4,3,7,2,3,3,8,4,7,4,4,6,6,4,5,0.47,1815.5,1020.5,27.2,70.8,7.8,0
3,3,2,4,5,,6,2,3,6,3,4,4,5,4,3,6,4,2,3,0.375,1596.1,975,25.8,62,8.2,0
1,2,6,7,4,2,3,7,5,3,1,4,5,3,6,6,6,4,3,6,0.42,1019,575.4,25,58.7,9.2,0
4,6,1,1,9,4,8,5,4,,6,7,5,7,9,5,8,3,8,8,0.58,1865.8,1065.2,28,61.8,8.6,1
2,8,7,7,3,6,6,4,0,10,4,2,8,4,5,3,7,5,2,1,0.47,1486.6,899.7,27.3,62.5,8.4,0
5,3,5,3,5,5,5,9,3,1,4,10,3,8,7,6,3,4,5,8,0.51,2034.5,1188.1,27.2,72.5,6.9,1
7,5,1,9,1,3,2,3,3,5,3,4,6,5,3,6,2,7,5,4,0.42,2430.9,1406.2,23.3,85.2,7.3,0
5,5,8,5,2,0,7,4,3,5,12,3,1,6,3,2,4,1,4,4,0.42,1916,1133.9,21.5,62.9,8.3,0
4,3,8,3,4,6,3,1,4,2,5,5,7,4,4,1,4,3,3,6,0.4,1880.6,1107.4,28.1,64.4,7.2,0
5,5,10,,,3,3,6,8,6,7,5,5,4,5,6,6,3,5,8,0.585,2064.5,1216.6,26.6,70.7,8.7,1
5,3,6,4,5,6,6,7,,4,4,4,4,5,5,4,3,7,6,4,0.485,2103.4,1202.1,28.6,79.3,7.8,0
4,4,6,3,3,4,4,2,6,3,4,7,6,10,6,8,9,3,8,4,0.52,1805.1,1034.8,27.3,62.3,8.3,1
4,5,3,4,3,4,6,7,,4,1,5,4,7,3,4,3,4,5,8,0.445,1826.5,1050,25.4,63.3,7.8,0
5,4,6,5,4,3,3,0,2,4,6,4,4,3,3,8,4,4,5,9,0.43,1984.5,1148.1,23.9,73.7,7.6,0
0,4,4,3,5,4,2,4,5,,5,8,4,8,0,5,5,4,10,8,0.465,948.2,542.1,27.3,51.3,10,0
4,9,3,4,4,7,5,2,8,3,3,6,7,3,5,4,4,7,7,2,0.485,2003.9,1174.3,29.3,66.5,7.4,0
3,6,6,3,4,8,8,6,6,8,4,9,4,2,8,7,1,6,5,9,0.565,1715.8,992.6,30.8,65.3,7.9,1
3,6,4,7,5,4,3,,11,1,4,6,4,8,5,6,6,4,4,6,0.515,1656.6,962.8,27,68.3,8.9,1
7,7,5,6,3,5,8,4,6,3,4,8,6,6,8,1,3,5,3,4,0.51,2553.2,1503.4,25.7,80.3,7.1,1
3,5,7,4,2,,7,4,6,8,10,8,8,4,3,5,5,5,4,0,0.51,1553.5,934.3,24.3,61.8,8.4,1
3,3,5,4,8,8,8,5,5,4,4,3,8,4,5,3,6,4,2,10,0.51,1777.9,1028.2,30.4,67.2,7,1
,3,8,4,6,8,8,5,5,3,7,5,2,5,5,5,2,4,5,1,0.475,1961.2,1187,31.6,63.4,7.8,0
6,6,6,6,3,3,,5,,2,3,6,4,2,3,8,8,2,9,6,0.505,2222.7,1297.9,24.7,73.8,7,1
4,5,1,2,3,4,3,1,3,4,7,6,3,1,3,2,4,10,7,6,0.395,1784.9,1026,25.6,73,8.2,0
7,7,6,6,5,3,5,5,3,6,1,4,3,4,6,7,3,5,5,4,0.475,2512.4,1436.5,24.1,78,7.6,0
8,7,7,4,5,7,5,9,7,3,7,1,3,6,2,4,4,7,8,8,0.56,2841.6,1660.5,27.7,85.3,6.4,1
5,4,2,5,4,7,3,4,6,5,4,5,4,3,3,3,5,5,0,3,0.4,2180.8,1306.2,28.2,65.7,7,0
8,3,9,4,4,6,4,3,4,2,1,6,9,6,3,6,3,5,5,2,0.465,2722.7,1589.6,27.6,82.6,5.9,0
4,5,9,2,6,7,8,7,6,0,4,4,4,3,8,2,4,7,5,5,0.5,1880.4,1099.4,30.2,72.6,8,1
2,2,1,5,7,4,5,3,5,8,11,2,4,7,5,3,4,6,5,4,0.465,1335.3,756.4,26.7,60.9,8.4,0
0,5,5,7,8,4,4,5,1,3,3,4,4,6,7,4,6,1,5,8,0.45,956.3,567.6,27.1,41.6,9.9,0
2,1,9,7,6,3,7,6,6,5,7,4,2,3,6,7,2,3,6,6,0.49,1351.5,801.3,26.9,55,8.1,0
3,7,4,6,8,9,3,5,7,6,7,3,4,5,11,4,7,6,3,3,0.555,1804.1,1046.9,32.1,58.5,8.8,1
4,2,4,5,4,6,5,9,5,1,5,3,5,3,6,3,7,4,4,6,0.455,1949,1133.1,27.6,65.9,7.6,0
